

Ente;Liste/Gruppi;Voti;
CANNALONGA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CAPACCIO PAESTUM;LEGA SALVINI PREMIER;4406;;
CAPACCIO PAESTUM;MOVIMENTO 5 STELLE;2745;;
CAPACCIO PAESTUM;FORZA ITALIA;1663;;
CAPACCIO PAESTUM;PARTITO DEMOCRATICO;1515;;
CAPACCIO PAESTUM;FRATELLI D'ITALIA;1067;;
CAPACCIO PAESTUM;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;359;;
CAPACCIO PAESTUM;LA SINISTRA;184;;
CAPACCIO PAESTUM;EUROPA VERDE;153;;
CAPACCIO PAESTUM;PARTITO ANIMALISTA;115;;
CAPACCIO PAESTUM;PARTITO COMUNISTA;102;;
CAPACCIO PAESTUM;POPOLARI PER L'ITALIA;66;;
CAPACCIO PAESTUM;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;41;;
CAPACCIO PAESTUM;FORZA NUOVA;28;;
CAPACCIO PAESTUM;CASAPOUND ITALIA - DESTRE UNITE;20;;
CAPACCIO PAESTUM;PARTITO PIRATA;13;;
CASALBUONO;LEGA SALVINI PREMIER;228;;
CASALBUONO;MOVIMENTO 5 STELLE;161;;
CASALBUONO;PARTITO DEMOCRATICO;117;;
CASALBUONO;FORZA ITALIA;112;;
CASALBUONO;FRATELLI D'ITALIA;29;;
CASALBUONO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
CASALBUONO;LA SINISTRA;10;;
CASALBUONO;PARTITO COMUNISTA;6;;
CASALBUONO;PARTITO ANIMALISTA;6;;
CASALBUONO;EUROPA VERDE;4;;
CASALBUONO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CASALBUONO;FORZA NUOVA;2;;
CASALBUONO;PARTITO PIRATA;0;;
CASALBUONO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASALBUONO;POPOLARI PER L'ITALIA;0;;
CASALETTO SPARTANO;LEGA SALVINI PREMIER;322;;
CASALETTO SPARTANO;PARTITO DEMOCRATICO;154;;
CASALETTO SPARTANO;MOVIMENTO 5 STELLE;153;;
CASALETTO SPARTANO;FORZA ITALIA;79;;
CASALETTO SPARTANO;FRATELLI D'ITALIA;36;;
CASALETTO SPARTANO;EUROPA VERDE;28;;
CASALETTO SPARTANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;22;;
CASALETTO SPARTANO;PARTITO ANIMALISTA;10;;
CASALETTO SPARTANO;LA SINISTRA;10;;
CASALETTO SPARTANO;PARTITO COMUNISTA;8;;
CASALETTO SPARTANO;CASAPOUND ITALIA - DESTRE UNITE;7;;
CASALETTO SPARTANO;FORZA NUOVA;2;;
CASALETTO SPARTANO;POPOLARI PER L'ITALIA;2;;
CASALETTO SPARTANO;PARTITO PIRATA;1;;
CASALETTO SPARTANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASAL VELINO;LEGA SALVINI PREMIER;594;;
CASAL VELINO;MOVIMENTO 5 STELLE;480;;
CASAL VELINO;FORZA ITALIA;312;;
CASAL VELINO;PARTITO DEMOCRATICO;224;;
CASAL VELINO;FRATELLI D'ITALIA;122;;
CASAL VELINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;41;;
CASAL VELINO;EUROPA VERDE;37;;
CASAL VELINO;PARTITO COMUNISTA;14;;
CASAL VELINO;LA SINISTRA;13;;
CASAL VELINO;PARTITO ANIMALISTA;13;;
CASAL VELINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;9;;
CASAL VELINO;FORZA NUOVA;8;;
CASAL VELINO;CASAPOUND ITALIA - DESTRE UNITE;4;;
CASAL VELINO;POPOLARI PER L'ITALIA;4;;
CASAL VELINO;PARTITO PIRATA;2;;
CASELLE IN PITTARI;LEGA SALVINI PREMIER;466;;
CASELLE IN PITTARI;PARTITO DEMOCRATICO;232;;
CASELLE IN PITTARI;MOVIMENTO 5 STELLE;179;;
CASELLE IN PITTARI;FORZA ITALIA;127;;
CASELLE IN PITTARI;FRATELLI D'ITALIA;92;;
CASELLE IN PITTARI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;37;;
CASELLE IN PITTARI;LA SINISTRA;15;;
CASELLE IN PITTARI;EUROPA VERDE;10;;
CASELLE IN PITTARI;PARTITO ANIMALISTA;9;;
CASELLE IN PITTARI;PARTITO COMUNISTA;7;;
CASELLE IN PITTARI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
CASELLE IN PITTARI;FORZA NUOVA;3;;
CASELLE IN PITTARI;POPOLARI PER L'ITALIA;1;;
