

Ente;Liste/Gruppi;Voti;
CASTEL CAMPAGNANO;PARTITO PIRATA;0;;
CASTEL CAMPAGNANO;FORZA NUOVA;0;;
CASTEL CAMPAGNANO;POPOLARI PER L'ITALIA;0;;
CASTEL CAMPAGNANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTEL DI SASSO;MOVIMENTO 5 STELLE;194;;
CASTEL DI SASSO;LEGA SALVINI PREMIER;168;;
CASTEL DI SASSO;FORZA ITALIA;161;;
CASTEL DI SASSO;PARTITO DEMOCRATICO;116;;
CASTEL DI SASSO;FRATELLI D'ITALIA;18;;
CASTEL DI SASSO;EUROPA VERDE;10;;
CASTEL DI SASSO;LA SINISTRA;7;;
CASTEL DI SASSO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7;;
CASTEL DI SASSO;PARTITO COMUNISTA;5;;
CASTEL DI SASSO;FORZA NUOVA;3;;
CASTEL DI SASSO;POPOLARI PER L'ITALIA;2;;
CASTEL DI SASSO;PARTITO ANIMALISTA;2;;
CASTEL DI SASSO;CASAPOUND ITALIA - DESTRE UNITE;1;;
CASTEL DI SASSO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTEL DI SASSO;PARTITO PIRATA;0;;
CASTELLO DEL MATESE;MOVIMENTO 5 STELLE;168;;
CASTELLO DEL MATESE;PARTITO DEMOCRATICO;152;;
CASTELLO DEL MATESE;FORZA ITALIA;136;;
CASTELLO DEL MATESE;LEGA SALVINI PREMIER;118;;
CASTELLO DEL MATESE;FRATELLI D'ITALIA;20;;
CASTELLO DEL MATESE;PARTITO ANIMALISTA;11;;
CASTELLO DEL MATESE;POPOLARI PER L'ITALIA;8;;
CASTELLO DEL MATESE;PARTITO COMUNISTA;5;;
CASTELLO DEL MATESE;EUROPA VERDE;3;;
CASTELLO DEL MATESE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;3;;
CASTELLO DEL MATESE;LA SINISTRA;3;;
CASTELLO DEL MATESE;PARTITO PIRATA;2;;
CASTELLO DEL MATESE;FORZA NUOVA;0;;
CASTELLO DEL MATESE;CASAPOUND ITALIA - DESTRE UNITE;0;;
