

Ente;Candidato;Liste/Gruppi;Voti lista;;
SAN GIUSEPPE VESUVIANO;;NOI CON L'ITALIA - UDC;568;;
SAN GIUSEPPE VESUVIANO;MANZI ANDREA;PARTITO DEMOCRATICO;1180;;
SAN GIUSEPPE VESUVIANO;;+EUROPA;80;;
SAN GIUSEPPE VESUVIANO;;CIVICA POPOLARE LORENZIN;30;;
SAN GIUSEPPE VESUVIANO;;ITALIA EUROPA INSIEME;12;;
SAN GIUSEPPE VESUVIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;236;;
SAN GIUSEPPE VESUVIANO;MONTANINO NICOLA;LIBERI E UGUALI;137;;
SAN GIUSEPPE VESUVIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;123;;
SAN GIUSEPPE VESUVIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;46;;
SAN GIUSEPPE VESUVIANO;PETROCCO GERMANA;CASAPOUND ITALIA;42;;
SAN GIUSEPPE VESUVIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;24;;
SAN GIUSEPPE VESUVIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;21;;
SAN PAOLO BEL SITO;NAPPI SILVANA;MOVIMENTO 5 STELLE;919;;
SAN PAOLO BEL SITO;CESA LORENZO;FORZA ITALIA;415;;
SAN PAOLO BEL SITO;;FRATELLI D'ITALIA CON GIORGIA MELONI;89;;
SAN PAOLO BEL SITO;;LEGA;69;;
SAN PAOLO BEL SITO;;NOI CON L'ITALIA - UDC;67;;
SAN PAOLO BEL SITO;MANZI ANDREA;PARTITO DEMOCRATICO;332;;
SAN PAOLO BEL SITO;;+EUROPA;19;;
SAN PAOLO BEL SITO;;ITALIA EUROPA INSIEME;15;;
SAN PAOLO BEL SITO;;CIVICA POPOLARE LORENZIN;1;;
SAN PAOLO BEL SITO;MONTANINO NICOLA;LIBERI E UGUALI;63;;
SAN PAOLO BEL SITO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;18;;
SAN PAOLO BEL SITO;PETROCCO GERMANA;CASAPOUND ITALIA;9;;
SAN PAOLO BEL SITO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;8;;
SAN PAOLO BEL SITO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
SAN PAOLO BEL SITO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
SAN PAOLO BEL SITO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;1;;
SAVIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;4374;;
SAVIANO;CESA LORENZO;FORZA ITALIA;1620;;
