

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
BUCCINO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
BUCCINO;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
BUCCINO;CIARAMBINO VALERIA;;;;;218
BUCCINO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;214;;
BUCCINO;VOZZA SALVATORE;;;;;43
BUCCINO;;;SINISTRA AL LAVORO;48;;
BUCCINO;ESPOSITO MARCO;;;;;9
BUCCINO;;;MO! LISTA CIVICA CAMPANIA;8;;
BUONABITACOLO;DE LUCA VINCENZO;;;;;459
BUONABITACOLO;;;PARTITO DEMOCRATICO;143;;
BUONABITACOLO;;;DE LUCA PRESIDENTE;91;;
BUONABITACOLO;;;UNIONE DI CENTRO;65;;
BUONABITACOLO;;;PARTITO SOCIALISTA ITALIANO;43;;
