

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
CAPOSELE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;222;;
CAPOSELE;VOZZA SALVATORE;;;;;34
CAPOSELE;;;SINISTRA AL LAVORO;39;;
CAPOSELE;ESPOSITO MARCO;;;;;4
CAPOSELE;;
CAPRIGLIA IRPINA;DE LUCA VINCENZO;;;;;633
CAPRIGLIA IRPINA;;;PARTITO DEMOCRATICO;181;;
CAPRIGLIA IRPINA;;;DE LUCA PRESIDENTE;147;;
CAPRIGLIA IRPINA;;;UNIONE DI CENTRO;98;;
CAPRIGLIA IRPINA;;;DAVVERO-VERDI;84;;
CAPRIGLIA IRPINA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;59;;
CAPRIGLIA IRPINA;;;CAMPANIA LIBERA;19;;
CAPRIGLIA IRPINA;;;CAMPANIA IN RETE;16;;
CAPRIGLIA IRPINA;;;PARTITO SOCIALISTA ITALIANO;5;;
CAPRIGLIA IRPINA;;;ITALIA DEI VALORI;2;;
CAPRIGLIA IRPINA;CALDORO STEFANO;;;;;340
CAPRIGLIA IRPINA;;;FORZA ITALIA;148;;
CAPRIGLIA IRPINA;;;NCD - CAMPANIA POPOLARE;61;;
CAPRIGLIA IRPINA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;61;;
CAPRIGLIA IRPINA;;;CALDORO PRESIDENTE;29;;
CAPRIGLIA IRPINA;;;NOI SUD;25;;
CAPRIGLIA IRPINA;;;POPOLARI PER L'ITALIA;2;;
CAPRIGLIA IRPINA;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CAPRIGLIA IRPINA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CAPRIGLIA IRPINA;CIARAMBINO VALERIA;;;;;116
CAPRIGLIA IRPINA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;106;;
CAPRIGLIA IRPINA;VOZZA SALVATORE;;;;;23
CAPRIGLIA IRPINA;;;SINISTRA AL LAVORO;22;;
CAPRIGLIA IRPINA;ESPOSITO MARCO;;;;;0
CAPRIGLIA IRPINA;;
CARIFE;CALDORO STEFANO;;;;;242
CARIFE;;;FORZA ITALIA;83;;
CARIFE;;;NCD - CAMPANIA POPOLARE;67;;
CARIFE;;;CALDORO PRESIDENTE;56;;
CARIFE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
CARIFE;;;POPOLARI PER L'ITALIA;12;;
CARIFE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CARIFE;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
