

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
CALVI RISORTA;;;PARTITO SOCIALISTA ITALIANO;29;;
CALVI RISORTA;;;ITALIA DEI VALORI;8;;
CALVI RISORTA;;;DAVVERO-VERDI;2;;
CALVI RISORTA;CALDORO STEFANO;;;;;813
CALVI RISORTA;;;FORZA ITALIA;361;;
CALVI RISORTA;;;NCD - CAMPANIA POPOLARE;151;;
CALVI RISORTA;;;CALDORO PRESIDENTE;149;;
CALVI RISORTA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;113;;
CALVI RISORTA;;;POPOLARI PER L'ITALIA;13;;
CALVI RISORTA;;;NOI SUD;6;;
CALVI RISORTA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;6;;
CALVI RISORTA;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
CALVI RISORTA;CIARAMBINO VALERIA;;;;;345
CALVI RISORTA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;336;;
CALVI RISORTA;VOZZA SALVATORE;;;;;130
CALVI RISORTA;;;SINISTRA AL LAVORO;122;;
CALVI RISORTA;ESPOSITO MARCO;;;;;12
CALVI RISORTA;;;MO! LISTA CIVICA CAMPANIA;9;;
CAMIGLIANO;CALDORO STEFANO;;;;;294
CAMIGLIANO;;;FORZA ITALIA;111;;
CAMIGLIANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;103;;
CAMIGLIANO;;;CALDORO PRESIDENTE;40;;
CAMIGLIANO;;;NCD - CAMPANIA POPOLARE;32;;
CAMIGLIANO;;;POPOLARI PER L'ITALIA;10;;
CAMIGLIANO;;;NOI SUD;2;;
CAMIGLIANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CAMIGLIANO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CAMIGLIANO;DE LUCA VINCENZO;;;;;272
CAMIGLIANO;;;PARTITO DEMOCRATICO;127;;
CAMIGLIANO;;;PARTITO SOCIALISTA ITALIANO;55;;
CAMIGLIANO;;;CAMPANIA IN RETE;23;;
CAMIGLIANO;;;CAMPANIA LIBERA;15;;
CAMIGLIANO;;;UNIONE DI CENTRO;14;;
CAMIGLIANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;12;;
CAMIGLIANO;;;ITALIA DEI VALORI;6;;
CAMIGLIANO;;;DAVVERO-VERDI;3;;
CAMIGLIANO;CIARAMBINO VALERIA;;;;;122
CAMIGLIANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;121;;
CAMIGLIANO;VOZZA SALVATORE;;;;;7
CAMIGLIANO;;;SINISTRA AL LAVORO;9;;
CAMIGLIANO;ESPOSITO MARCO;;;;;6
CAMIGLIANO;;;MO! LISTA CIVICA CAMPANIA;5;;
CANCELLO ED ARNONE;CALDORO STEFANO;;;;;1397
CANCELLO ED ARNONE;;;NCD - CAMPANIA POPOLARE;823;;
CANCELLO ED ARNONE;;;FORZA ITALIA;396;;
CANCELLO ED ARNONE;;;CALDORO PRESIDENTE;103;;
CANCELLO ED ARNONE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;62;;
CANCELLO ED ARNONE;;;POPOLARI PER L'ITALIA;9;;
CANCELLO ED ARNONE;;;NOI SUD;5;;
CANCELLO ED ARNONE;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
CANCELLO ED ARNONE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CANCELLO ED ARNONE;DE LUCA VINCENZO;;;;;667
CANCELLO ED ARNONE;;;PARTITO DEMOCRATICO;332;;
CANCELLO ED ARNONE;;;CAMPANIA LIBERA;115;;
CANCELLO ED ARNONE;;;UNIONE DI CENTRO;63;;
CANCELLO ED ARNONE;;;CAMPANIA IN RETE;49;;
CANCELLO ED ARNONE;;;ITALIA DEI VALORI;40;;
CANCELLO ED ARNONE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;26;;
CANCELLO ED ARNONE;;;PARTITO SOCIALISTA ITALIANO;17;;
CANCELLO ED ARNONE;;;DAVVERO-VERDI;2;;
CANCELLO ED ARNONE;CIARAMBINO VALERIA;;;;;172
CANCELLO ED ARNONE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;162;;
CANCELLO ED ARNONE;VOZZA SALVATORE;;;;;15
CANCELLO ED ARNONE;;;SINISTRA AL LAVORO;15;;
CANCELLO ED ARNONE;ESPOSITO MARCO;;;;;4
CANCELLO ED ARNONE;;;MO! LISTA CIVICA CAMPANIA;2;;
CAPODRISE;DE LUCA VINCENZO;;;;;1672
CAPODRISE;;;PARTITO DEMOCRATICO;832;;
CAPODRISE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;423;;
CAPODRISE;;;CAMPANIA LIBERA;136;;
CAPODRISE;;;CAMPANIA IN RETE;94;;
CAPODRISE;;;UNIONE DI CENTRO;81;;
CAPODRISE;;;ITALIA DEI VALORI;46;;
CAPODRISE;;;PARTITO SOCIALISTA ITALIANO;10;;
CAPODRISE;;;DAVVERO-VERDI;6;;
CAPODRISE;CALDORO STEFANO;;;;;1580
CAPODRISE;;;FORZA ITALIA;808;;
CAPODRISE;;;NCD - CAMPANIA POPOLARE;425;;
CAPODRISE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;241;;
CAPODRISE;;;CALDORO PRESIDENTE;123;;
CAPODRISE;;;NOI SUD;7;;
CAPODRISE;;;MAI PIU' LA TERRA DEI FUOCHI;4;;
CAPODRISE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
CAPODRISE;;;POPOLARI PER L'ITALIA;0;;
CAPODRISE;CIARAMBINO VALERIA;;;;;621
CAPODRISE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;576;;
CAPODRISE;VOZZA SALVATORE;;;;;98
CAPODRISE;;;SINISTRA AL LAVORO;90;;
CAPODRISE;ESPOSITO MARCO;;;;;26
CAPODRISE;;;MO! LISTA CIVICA CAMPANIA;24;;
CAPRIATI A VOLTURNO;CALDORO STEFANO;;;;;429
CAPRIATI A VOLTURNO;;;NCD - CAMPANIA POPOLARE;278;;
CAPRIATI A VOLTURNO;;;FORZA ITALIA;61;;
CAPRIATI A VOLTURNO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;38;;
CAPRIATI A VOLTURNO;;;CALDORO PRESIDENTE;33;;
CAPRIATI A VOLTURNO;;;POPOLARI PER L'ITALIA;8;;
CAPRIATI A VOLTURNO;;;NOI SUD;4;;
CAPRIATI A VOLTURNO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
CAPRIATI A VOLTURNO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CAPRIATI A VOLTURNO;DE LUCA VINCENZO;;;;;234
CAPRIATI A VOLTURNO;;;PARTITO DEMOCRATICO;130;;
CAPRIATI A VOLTURNO;;;CAMPANIA LIBERA;44;;
CAPRIATI A VOLTURNO;;;UNIONE DI CENTRO;29;;
CAPRIATI A VOLTURNO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;12;;
CAPRIATI A VOLTURNO;;;PARTITO SOCIALISTA ITALIANO;7;;
CAPRIATI A VOLTURNO;;;CAMPANIA IN RETE;3;;
CAPRIATI A VOLTURNO;;;DAVVERO-VERDI;1;;
CAPRIATI A VOLTURNO;;;ITALIA DEI VALORI;1;;
CAPRIATI A VOLTURNO;CIARAMBINO VALERIA;;;;;83
CAPRIATI A VOLTURNO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;82;;
CAPRIATI A VOLTURNO;VOZZA SALVATORE;;;;;4
CAPRIATI A VOLTURNO;;;SINISTRA AL LAVORO;4;;
CAPRIATI A VOLTURNO;ESPOSITO MARCO;;;;;3
CAPRIATI A VOLTURNO;;;MO! LISTA CIVICA CAMPANIA;4;;
CAPUA;CALDORO STEFANO;;;;;3879
CAPUA;;;FORZA ITALIA;2273;;
CAPUA;;;NCD - CAMPANIA POPOLARE;715;;
CAPUA;;;CALDORO PRESIDENTE;537;;
CAPUA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;184;;
CAPUA;;;POPOLARI PER L'ITALIA;22;;
CAPUA;;;MAI PIU' LA TERRA DEI FUOCHI;15;;
CAPUA;;;NOI SUD;15;;
CAPUA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;3;;
CAPUA;DE LUCA VINCENZO;;;;;2632
CAPUA;;;PARTITO DEMOCRATICO;1173;;
CAPUA;;;CAMPANIA IN RETE;745;;
CAPUA;;;CAMPANIA LIBERA;274;;
CAPUA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;121;;
CAPUA;;;ITALIA DEI VALORI;58;;
CAPUA;;;UNIONE DI CENTRO;52;;
CAPUA;;;PARTITO SOCIALISTA ITALIANO;47;;
CAPUA;;;DAVVERO-VERDI;26;;
CAPUA;CIARAMBINO VALERIA;;;;;1549
CAPUA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1455;;
CAPUA;VOZZA SALVATORE;;;;;234
CAPUA;;;SINISTRA AL LAVORO;221;;
CAPUA;ESPOSITO MARCO;;;;;48
CAPUA;;;MO! LISTA CIVICA CAMPANIA;44;;
CARINARO;DE LUCA VINCENZO;;;;;1093
CARINARO;;;PARTITO DEMOCRATICO;807;;
CARINARO;;;CAMPANIA LIBERA;102;;
CARINARO;;;UNIONE DI CENTRO;79;;
CARINARO;;;CAMPANIA IN RETE;37;;
CARINARO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;25;;
CARINARO;;;PARTITO SOCIALISTA ITALIANO;6;;
CARINARO;;;DAVVERO-VERDI;6;;
CARINARO;;;ITALIA DEI VALORI;4;;
CARINARO;CALDORO STEFANO;;;;;979
CARINARO;;;FORZA ITALIA;631;;
CARINARO;;;CALDORO PRESIDENTE;161;;
CARINARO;;;NCD - CAMPANIA POPOLARE;98;;
CARINARO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;71;;
CARINARO;;;NOI SUD;10;;
CARINARO;;;MAI PIU' LA TERRA DEI FUOCHI;4;;
CARINARO;;;POPOLARI PER L'ITALIA;4;;
CARINARO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CARINARO;CIARAMBINO VALERIA;;;;;571
CARINARO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;563;;
CARINARO;VOZZA SALVATORE;;;;;32
CARINARO;;;SINISTRA AL LAVORO;30;;
CARINARO;ESPOSITO MARCO;;;;;4
CARINARO;;;MO! LISTA CIVICA CAMPANIA;3;;
CARINOLA;CALDORO STEFANO;;;;;1628
CARINOLA;;;CALDORO PRESIDENTE;1024;;
CARINOLA;;;FORZA ITALIA;364;;
CARINOLA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;141;;
CARINOLA;;;NCD - CAMPANIA POPOLARE;49;;
CARINOLA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;8;;
