

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
CASTELVENERE;;;CAMPANIA IN RETE;19;;
CASTELVENERE;;;DAVVERO-VERDI;10;;
CASTELVENERE;;;ITALIA DEI VALORI;9;;
CASTELVENERE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;7;;
CASTELVENERE;CALDORO STEFANO;;;;;349
CASTELVENERE;;;FORZA ITALIA;224;;
CASTELVENERE;;;CALDORO PRESIDENTE;36;;
CASTELVENERE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;28;;
CASTELVENERE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;24;;
CASTELVENERE;;;NCD - CAMPANIA POPOLARE;17;;
CASTELVENERE;;;NOI SUD;3;;
CASTELVENERE;;;POPOLARI PER L'ITALIA;1;;
CASTELVENERE;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CASTELVENERE;CIARAMBINO VALERIA;;;;;145
CASTELVENERE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;143;;
CASTELVENERE;ESPOSITO MARCO;;;;;18
CASTELVENERE;;
CASTELVENERE;VOZZA SALVATORE;;;;;9
CASTELVENERE;;;SINISTRA AL LAVORO;10;;
CASTELVETERE IN VAL FORTORE;CALDORO STEFANO;;;;;237
CASTELVETERE IN VAL FORTORE;;;FORZA ITALIA;167;;
