

Ente;Candidato;Liste/Gruppi;Voti lista;;
LUSCIANO;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;59;;
LUSCIANO;BRUNO PASQUALE;ITALIA AGLI ITALIANI;46;;
LUSCIANO;VOTA ANNA;CASAPOUND ITALIA;33;;
LUSCIANO;DI FOGGIA ANGELA;POTERE AL POPOLO!;35;;
LUSCIANO;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;29;;
LUSCIANO;PAOLUCCI LUCA;PARTITO COMUNISTA;23;;
LUSCIANO;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
LUSCIANO;GUIDO ANIELLO;PARTITO VALORE UMANO;3;;
ORTA DI ATELLA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;8716;;
ORTA DI ATELLA;CASTIELLO GIUSEPPINA;FORZA ITALIA;1764;;
ORTA DI ATELLA;;LEGA;360;;
ORTA DI ATELLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;341;;
ORTA DI ATELLA;;NOI CON L'ITALIA - UDC;47;;
ORTA DI ATELLA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;878;;
ORTA DI ATELLA;;ITALIA EUROPA INSIEME;171;;
ORTA DI ATELLA;;+EUROPA;68;;
ORTA DI ATELLA;;CIVICA POPOLARE LORENZIN;21;;
ORTA DI ATELLA;CORVINO CARLO;LIBERI E UGUALI;173;;
ORTA DI ATELLA;DI FOGGIA ANGELA;POTERE AL POPOLO!;152;;
ORTA DI ATELLA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;72;;
ORTA DI ATELLA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;54;;
ORTA DI ATELLA;VOTA ANNA;CASAPOUND ITALIA;27;;
ORTA DI ATELLA;PAOLUCCI LUCA;PARTITO COMUNISTA;23;;
ORTA DI ATELLA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;14;;
ORTA DI ATELLA;GUIDO ANIELLO;PARTITO VALORE UMANO;11;;
ORTA DI ATELLA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;8;;
PARETE;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;3437;;
PARETE;CASTIELLO GIUSEPPINA;FORZA ITALIA;929;;
PARETE;;LEGA;229;;
PARETE;;FRATELLI D'ITALIA CON GIORGIA MELONI;192;;
PARETE;;NOI CON L'ITALIA - UDC;40;;
PARETE;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;679;;
PARETE;;ITALIA EUROPA INSIEME;86;;
PARETE;;CIVICA POPOLARE LORENZIN;44;;
PARETE;;+EUROPA;41;;
PARETE;CORVINO CARLO;LIBERI E UGUALI;98;;
PARETE;DI FOGGIA ANGELA;POTERE AL POPOLO!;53;;
PARETE;BRUNO PASQUALE;ITALIA AGLI ITALIANI;28;;
PARETE;PAOLUCCI LUCA;PARTITO COMUNISTA;17;;
PARETE;VOTA ANNA;CASAPOUND ITALIA;14;;
PARETE;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;15;;
PARETE;GUIDO ANIELLO;PARTITO VALORE UMANO;4;;
PARETE;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
PARETE;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
SAN CIPRIANO D'AVERSA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;2901;;
SAN CIPRIANO D'AVERSA;CASTIELLO GIUSEPPINA;FORZA ITALIA;1879;;
SAN CIPRIANO D'AVERSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;446;;
SAN CIPRIANO D'AVERSA;;LEGA;286;;
SAN CIPRIANO D'AVERSA;;NOI CON L'ITALIA - UDC;51;;
SAN CIPRIANO D'AVERSA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;429;;
SAN CIPRIANO D'AVERSA;;CIVICA POPOLARE LORENZIN;45;;
SAN CIPRIANO D'AVERSA;;+EUROPA;25;;
SAN CIPRIANO D'AVERSA;;ITALIA EUROPA INSIEME;10;;
SAN CIPRIANO D'AVERSA;CORVINO CARLO;LIBERI E UGUALI;102;;
SAN CIPRIANO D'AVERSA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;57;;
SAN CIPRIANO D'AVERSA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;31;;
SAN CIPRIANO D'AVERSA;DI FOGGIA ANGELA;POTERE AL POPOLO!;31;;
SAN CIPRIANO D'AVERSA;VOTA ANNA;CASAPOUND ITALIA;27;;
SAN CIPRIANO D'AVERSA;PAOLUCCI LUCA;PARTITO COMUNISTA;14;;
SAN CIPRIANO D'AVERSA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
SAN CIPRIANO D'AVERSA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;5;;
SAN CIPRIANO D'AVERSA;GUIDO ANIELLO;PARTITO VALORE UMANO;1;;
SAN MARCELLINO;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;2965;;
SAN MARCELLINO;CASTIELLO GIUSEPPINA;FORZA ITALIA;1556;;
SAN MARCELLINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;578;;
SAN MARCELLINO;;LEGA;348;;
SAN MARCELLINO;;NOI CON L'ITALIA - UDC;42;;
SAN MARCELLINO;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;410;;
SAN MARCELLINO;;CIVICA POPOLARE LORENZIN;294;;
SAN MARCELLINO;;+EUROPA;17;;
SAN MARCELLINO;;ITALIA EUROPA INSIEME;11;;
SAN MARCELLINO;BRUNO PASQUALE;ITALIA AGLI ITALIANI;87;;
SAN MARCELLINO;CORVINO CARLO;LIBERI E UGUALI;70;;
SAN MARCELLINO;DI FOGGIA ANGELA;POTERE AL POPOLO!;27;;
SAN MARCELLINO;VOTA ANNA;CASAPOUND ITALIA;25;;
SAN MARCELLINO;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;9;;
SAN MARCELLINO;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;7;;
SAN MARCELLINO;PAOLUCCI LUCA;PARTITO COMUNISTA;6;;
SAN MARCELLINO;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;5;;
SAN MARCELLINO;GUIDO ANIELLO;PARTITO VALORE UMANO;3;;
SANTA MARIA LA FOSSA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;613;;
SANTA MARIA LA FOSSA;CASTIELLO GIUSEPPINA;FORZA ITALIA;364;;
SANTA MARIA LA FOSSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;130;;
SANTA MARIA LA FOSSA;;LEGA;94;;
