

Ente;Liste/Gruppi;Voti;
CUSANO MUTRI;POPOLARI PER L'ITALIA;4;;
CUSANO MUTRI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CUSANO MUTRI;PARTITO PIRATA;3;;
DUGENTA;MOVIMENTO 5 STELLE;374;;
DUGENTA;LEGA SALVINI PREMIER;357;;
DUGENTA;PARTITO DEMOCRATICO;146;;
DUGENTA;FORZA ITALIA;130;;
DUGENTA;FRATELLI D'ITALIA;52;;
DUGENTA;EUROPA VERDE;11;;
DUGENTA;LA SINISTRA;10;;
DUGENTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
DUGENTA;PARTITO COMUNISTA;5;;
DUGENTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;5;;
DUGENTA;PARTITO ANIMALISTA;4;;
DUGENTA;CASAPOUND ITALIA - DESTRE UNITE;4;;
DUGENTA;POPOLARI PER L'ITALIA;3;;
DUGENTA;FORZA NUOVA;2;;
DUGENTA;PARTITO PIRATA;0;;
DURAZZANO;MOVIMENTO 5 STELLE;409;;
DURAZZANO;FORZA ITALIA;313;;
DURAZZANO;LEGA SALVINI PREMIER;310;;
DURAZZANO;PARTITO DEMOCRATICO;197;;
DURAZZANO;FRATELLI D'ITALIA;65;;
DURAZZANO;EUROPA VERDE;17;;
DURAZZANO;PARTITO ANIMALISTA;17;;
DURAZZANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
DURAZZANO;LA SINISTRA;11;;
DURAZZANO;PARTITO COMUNISTA;6;;
DURAZZANO;POPOLARI PER L'ITALIA;6;;
DURAZZANO;FORZA NUOVA;3;;
DURAZZANO;PARTITO PIRATA;1;;
DURAZZANO;CASAPOUND ITALIA - DESTRE UNITE;1;;
DURAZZANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
FAICCHIO;LEGA SALVINI PREMIER;711;;
FAICCHIO;MOVIMENTO 5 STELLE;496;;
FAICCHIO;FORZA ITALIA;427;;
FAICCHIO;PARTITO DEMOCRATICO;147;;
FAICCHIO;FRATELLI D'ITALIA;113;;
FAICCHIO;EUROPA VERDE;34;;
FAICCHIO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;31;;
FAICCHIO;PARTITO ANIMALISTA;16;;
FAICCHIO;PARTITO COMUNISTA;13;;
FAICCHIO;LA SINISTRA;13;;
FAICCHIO;FORZA NUOVA;7;;
FAICCHIO;POPOLARI PER L'ITALIA;7;;
FAICCHIO;PARTITO PIRATA;5;;
FAICCHIO;CASAPOUND ITALIA - DESTRE UNITE;4;;
FAICCHIO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
FOGLIANISE;MOVIMENTO 5 STELLE;559;;
FOGLIANISE;LEGA SALVINI PREMIER;257;;
FOGLIANISE;FORZA ITALIA;257;;
FOGLIANISE;PARTITO DEMOCRATICO;218;;
FOGLIANISE;LA SINISTRA;44;;
FOGLIANISE;FRATELLI D'ITALIA;39;;
FOGLIANISE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
FOGLIANISE;EUROPA VERDE;12;;
FOGLIANISE;PARTITO ANIMALISTA;7;;
FOGLIANISE;PARTITO COMUNISTA;6;;
FOGLIANISE;CASAPOUND ITALIA - DESTRE UNITE;5;;
FOGLIANISE;POPOLARI PER L'ITALIA;3;;
FOGLIANISE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
FOGLIANISE;FORZA NUOVA;2;;
FOGLIANISE;PARTITO PIRATA;1;;
FOIANO DI VAL FORTORE;PARTITO DEMOCRATICO;401;;
FOIANO DI VAL FORTORE;FORZA ITALIA;135;;
FOIANO DI VAL FORTORE;LEGA SALVINI PREMIER;104;;
FOIANO DI VAL FORTORE;MOVIMENTO 5 STELLE;98;;
FOIANO DI VAL FORTORE;FRATELLI D'ITALIA;10;;
FOIANO DI VAL FORTORE;LA SINISTRA;7;;
FOIANO DI VAL FORTORE;PARTITO COMUNISTA;7;;
FOIANO DI VAL FORTORE;PARTITO ANIMALISTA;4;;
FOIANO DI VAL FORTORE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;2;;
FOIANO DI VAL FORTORE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
FOIANO DI VAL FORTORE;PARTITO PIRATA;2;;
FOIANO DI VAL FORTORE;CASAPOUND ITALIA - DESTRE UNITE;1;;
FOIANO DI VAL FORTORE;POPOLARI PER L'ITALIA;1;;
FOIANO DI VAL FORTORE;EUROPA VERDE;1;;
FOIANO DI VAL FORTORE;FORZA NUOVA;0;;
FORCHIA;MOVIMENTO 5 STELLE;377;;
FORCHIA;LEGA SALVINI PREMIER;196;;
FORCHIA;FORZA ITALIA;100;;
FORCHIA;PARTITO DEMOCRATICO;62;;
FORCHIA;FRATELLI D'ITALIA;42;;
FORCHIA;PARTITO COMUNISTA;8;;
FORCHIA;LA SINISTRA;8;;
FORCHIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
FORCHIA;EUROPA VERDE;3;;
FORCHIA;PARTITO ANIMALISTA;3;;
FORCHIA;CASAPOUND ITALIA - DESTRE UNITE;1;;
FORCHIA;FORZA NUOVA;0;;
FORCHIA;PARTITO PIRATA;0;;
