

Ente;Liste/Gruppi;Voti;
CANDIDA;PARTITO COMUNISTA;13;;
CANDIDA;EUROPA VERDE;12;;
CANDIDA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;11;;
CANDIDA;LA SINISTRA;11;;
CANDIDA;CASAPOUND ITALIA - DESTRE UNITE;3;;
CANDIDA;FORZA NUOVA;1;;
CANDIDA;POPOLARI PER L'ITALIA;0;;
CANDIDA;PARTITO ANIMALISTA;0;;
CANDIDA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CANDIDA;PARTITO PIRATA;0;;
CAPOSELE;MOVIMENTO 5 STELLE;362;;
CAPOSELE;LEGA SALVINI PREMIER;308;;
CAPOSELE;PARTITO DEMOCRATICO;284;;
CAPOSELE;FRATELLI D'ITALIA;140;;
CAPOSELE;FORZA ITALIA;124;;
CAPOSELE;POPOLARI PER L'ITALIA;24;;
CAPOSELE;LA SINISTRA;19;;
CAPOSELE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
CAPOSELE;EUROPA VERDE;14;;
CAPOSELE;PARTITO COMUNISTA;11;;
CAPOSELE;PARTITO ANIMALISTA;7;;
CAPOSELE;CASAPOUND ITALIA - DESTRE UNITE;6;;
CAPOSELE;FORZA NUOVA;6;;
CAPOSELE;PARTITO PIRATA;3;;
CAPOSELE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CAPRIGLIA IRPINA;MOVIMENTO 5 STELLE;282;;
CAPRIGLIA IRPINA;LEGA SALVINI PREMIER;234;;
CAPRIGLIA IRPINA;PARTITO DEMOCRATICO;153;;
CAPRIGLIA IRPINA;FORZA ITALIA;92;;
CAPRIGLIA IRPINA;FRATELLI D'ITALIA;58;;
CAPRIGLIA IRPINA;LA SINISTRA;20;;
CAPRIGLIA IRPINA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;16;;
CAPRIGLIA IRPINA;EUROPA VERDE;16;;
CAPRIGLIA IRPINA;PARTITO COMUNISTA;12;;
CAPRIGLIA IRPINA;POPOLARI PER L'ITALIA;5;;
CAPRIGLIA IRPINA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CAPRIGLIA IRPINA;FORZA NUOVA;2;;
CAPRIGLIA IRPINA;PARTITO ANIMALISTA;2;;
CAPRIGLIA IRPINA;CASAPOUND ITALIA - DESTRE UNITE;0;;
CAPRIGLIA IRPINA;PARTITO PIRATA;0;;
CARIFE;MOVIMENTO 5 STELLE;255;;
CARIFE;LEGA SALVINI PREMIER;217;;
CARIFE;PARTITO DEMOCRATICO;205;;
CARIFE;FORZA ITALIA;100;;
CARIFE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;39;;
CARIFE;FRATELLI D'ITALIA;26;;
CARIFE;PARTITO COMUNISTA;24;;
CARIFE;LA SINISTRA;16;;
CARIFE;EUROPA VERDE;12;;
